insurgency_group,rtg_ffund,rtg_teraff,rtg_ccodecow,rtg_media,rtg_international,rtg_outnegrep,rtg_educcaus,rtg_logpop,rtg_left,rtg_intnegrep,rtg_pgood,rtg_propertycount,rtg_politics,rtg_govtargcount,rtg_endedtype,rtg_nmbrtrr,rtg_intposrep,rtg_nkillter,rtg_age,rtg_tcode,rtg_cleavage,rtg_logarea,rtg_loggdp,rtg_govcaus,rtg_rel,rtg_civcaus,rtg_nwound,rtg_civcausreal,rtg_eductargcount,rtg_rebel,rtg_nkill,rtg_terpwing,rtg_parterr,rtg_gname,rtg_peaksize,rtg_nat,rtg_broadgoal,rtg_logmil,rtg_endedtype2,rtg_reputation,rtg_frec,rtg_eductargexist,rtg_civtargcount,forge_splinterUCDP,forge_ethnic,forge_fightday,forge_ethnicity,forge_ccode,forge_ideolcom,forge_ideolright,forge_preorglab,forge_cname,forge_ideolnat,forge_preorgrel,forge_goalindep,forge_preorgfmr,forge_preorggov,forge_goalother,forge_preorg,forge_conflict_id,forge_foundloc,forge_splinter,forge_foundday,forge_preorgreb,forge_goaldem,forge_NSAdyadid,forge_preorgmvt,forge_ideolanti,forge_ideolrel,forge_gacronym,forge_fightyear,forge_goalrep,forge_foundmo,forge_ideolnote,forge_goalrights,forge_ideolleft,forge_preorgyou,forge_actorid,forge_preorgoth,forge_ideology,forge_preorgpar,forge_preorgmil,forge_merger,forge_dyadid,forge_goalchange,forge_goalnote,forge_gname,forge_preorgno,forge_goalauto,forge_ideoloth,forge_preorgname,forge_fightmo,forge_preorgfor,forge_preorgref,forge_religious,forge_religion,forge_preorgeth,forge_foundyear,forge_goalnominal,baad_terrcntrl,baad_torg,baad_fdrob,baad_fdkidnap,baad_lead_hierarch,baad_fddrugtk,baad_fdextort,baad_hb_iso_cc,baad_fdstate,baad_left,baad_hbccode,baad_fdsmuggl,baad_torg_year,baad_age,baad_org,baad_size_rec,baad_hbiso,baad_reli,baad_hbase,baad_ethn,baad_socsvcs,baad_year,baad_ucdpbd,mas_maxedu,mas_totalpopmin,mas_ethnic,mas_terrcontrol,mas_side_b,mas_location,mas_preconflict_health,mas_yearmin,mas_maxhealth,mas_communist,mas_yearmax,mas_preconflict_edu,gsw_target,gsw_wbcode,gsw_repression,gsw_lccode,gsw_year,gsw_location,gsw_campaign,gsw_cyear,war_id,war_acr,war_dyadperiod,war_terrcontrol,war_side_b,war_l1democracy,war_l1totalpop_log,war_confid,war_communist,war_side_a,war_year,war_location,war_ethnonsec,war_dyadid,war_obsid
Somali Patriotic Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Ogaden,520.0,0.0,0.0,0.0,Somalia,1.0,0.0,0.0,0.0,0.0,0.0,7,337.0,Hargeisa,,,0.0,0.0,208.0,0.0,0.0,0.0,SPM,1989.0,0.0,,,1.0,0.0,0.0,501.0,0.0,1.0,0.0,1.0,0.0,745.0,0.0,,Somali Patriotic Movement,0.0,0.0,0.0,Somali National Army,1.0,0.0,0.0,0.0,0.0,0.0,1989.0,protect Ogaden interests,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.727469,0.0,0.0,SPM,Somalia,0.0,1989.0,0.0,0.0,1991.0,0.0,,,,,,,,,SOM-1989,SOM,1.0,0.0,SPM,0.0,15.74968,2410.1,0.0,Somalia,1989.0,Somalia,0.0,2410.1-5,EACD.2.2-1009
Somali Reconciliation and Restoration Council (SRRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.0,,520.0,0.0,0.0,0.0,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,"1,2",337.0,Addis Ababa,0.0,,1.0,0.0,212.0,0.0,0.0,0.0,SRRC,2001.0,0.0,3.0,,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,1.0,748.0,1.0,,Somali Reconciliation and Restoration Council,0.0,0.0,0.0,"Rahanweyn Resistance Army (RRA), Southern Somali National Movement (SSNM), USC, SNA (Somali National Alliance), SNM",5.0,0.0,0.0,0.0,0.0,0.0,2001.0,Overthrow TNG,1.0,2322.0,0.0,0.0,0.0,0.0,0.0,706.0,0.0,0.0,520.0,0.0,2322_2001,0.0,Somali Reconciliation and Restoration Council (SRRC),3.0,SOM,0.0,Somalia,0.0,0.0,2001.0,237.0,,15.865236,0.0,0.0,SRRC,Somalia,,2001.0,,0.0,2002.0,,,,,,,,,,SOM-2001,SOM,1.0,0.0,SRRC,0.0,15.830488,2410.2,0.0,Somalia,2001.0,Somalia,0.0,2410.2-1,EACD.2.2-1015
Somali Salvation Democratic Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,Majeerteen,520.0,1.0,0.0,0.0,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,"2,3",337.0,Ethiopia,0.0,,0.0,0.0,209.0,0.0,0.0,0.0,SSDF,1982.0,0.0,10.0,Marxist,0.0,0.0,0.0,499.0,0.0,1.0,1.0,0.0,1.0,743.0,1.0,,Somali Salvation Democratic Front,0.0,0.0,0.0,"SSF (the Somali Salvation Front), SWP (Somali Workers Party) and DFLS (the Democratic Front for the Liberation of Somalia)",1.0,0.0,0.0,0.0,0.0,0.0,1981.0,Overthrow Siad Barre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Somali Congress/Somali National Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,29.0,Habr-Gedir,520.0,0.0,0.0,0.0,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,1,337.0,,0.0,,1.0,0.0,211.0,0.0,0.0,0.0,USC/SNA,1991.0,0.0,1.0,,0.0,0.0,0.0,503.0,0.0,0.0,0.0,0.0,0.0,747.0,1.0,,United Somali Congress/Somali National Alliance,0.0,0.0,0.0,USC,1.0,0.0,0.0,0.0,0.0,0.0,1991.0,Oppose Mahdi (USC) government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Somali Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,18.0,Hawiye,520.0,0.0,0.0,0.0,Somalia,0.0,0.0,0.0,0.0,0.0,0.0,1,337.0,Rome,1.0,,1.0,0.0,210.0,0.0,0.0,0.0,USC/SSA,1990.0,0.0,1.0,,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,0.0,746.0,1.0,,United Somali Congress,0.0,0.0,0.0,SNM,11.0,0.0,0.0,0.0,0.0,0.0,1989.0,Overthrow Barre regime,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.727469,0.0,0.0,USC,Somalia,0.0,1989.0,0.0,0.0,1991.0,0.0,,,,,,,,,SOM-1989,SOM,1.0,0.0,USC,0.0,15.74968,2410.1,0.0,Somalia,1989.0,Somalia,0.0,2410.1-4,EACD.2.2-1006
South West Africa People’s Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,560.0,0.0,0.0,0.0,South Africa,1.0,0.0,1.0,0.0,0.0,0.0,4,298.0,"Windhoek; Dar es Salaam, Tanzania",,19.0,0.0,0.0,516.0,1.0,0.0,0.0,SWAPO,1966.0,0.0,4.0,,0.0,0.0,0.0,461.0,0.0,1.0,0.0,0.0,0.0,641.0,0.0,,South West Africa People’s Organization,0.0,0.0,0.0,Ovamboland People's Organization,11.0,0.0,0.0,0.0,0.0,0.0,1960.0,Independence from South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemenite Socialist Party - Abdul Fattah Ismail faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,,680.0,1.0,0.0,0.0,South Yemen,0.0,0.0,0.0,0.0,0.0,0.0,3,359.0,Aden,,13.0,0.0,0.0,564.0,0.0,0.0,0.0,Yemenite Socialist Party - Abdul Fattah Ismail faction,1986.0,0.0,1.0,Marxist,0.0,0.0,0.0,324.0,0.0,1.0,1.0,0.0,0.0,786.0,1.0,,Yemenite Socialist Party - Abdul Fattah Ismail faction,0.0,0.0,0.0,Yemeni Socialist Party,1.0,0.0,0.0,0.0,0.0,0.0,1986.0,ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YEM-1986,YEM,1.0,,Faction of Yemenite Socialist Party,,16.170681,2650,,South Yemen,1986.0,South Yemen,0.0,2650-1,EACD.2.2-1120
Basque Nation and Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,Basque,230.0,1.0,0.0,0.0,Spain,1.0,0.0,1.0,0.0,0.0,0.0,"3,5",342.0,Basque region,,31.0,0.0,0.0,366.0,0.0,0.0,0.0,ETA,1968.0,0.0,7.0,Marxist,0.0,0.0,1.0,313.0,0.0,1.0,1.0,0.0,1.0,763.0,0.0,,Basque Nation and Liberty,0.0,0.0,0.0,"EKIN (student group), EGI (youth wing of Basque National Party PNV)",6.0,0.0,0.0,0.0,0.0,0.0,1959.0,independence for Basque regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eelam People's Revolutionary Liberation Front (EPRLF),0.0,1.0,780.0,0.0,0.0,0.0,0.0,2.799667,0.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,0.0,6.0,Eelam People's Revolutionary Liberation Front (EPRLF),2.0,11.07813,7.5427017,37.0,0.0,3.0,7.0,51.333332,0.0,1.0,40.0,1.0,1.0,Eelam People's Revolutionary Liberation Front (EPRLF),2.0,1.0,0.0,3.0910425,0.0,0.0,0.0,0.0,1.0,,1.0,4.0,Tamil,780.0,1.0,0.0,0.0,Sri Lanka,1.0,0.0,1.0,0.0,0.0,0.0,5,352.0,Kumbakonam town in Tamil Nadu,1.0,,0.0,0.0,687.0,0.0,0.0,0.0,EPRLF,1985.0,0.0,,Marxist,0.0,0.0,0.0,322.0,0.0,1.0,0.0,0.0,0.0,778.0,0.0,,Eelam People's Revolutionary Liberation Front,0.0,0.0,0.0,Eelam Revolutionary Organization of Students (EROS) - a militant group that's primarily students (at least that formed EPRLF),5.0,0.0,0.0,0.0,0.0,0.0,1980.0,independence for Eelam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People's Liberation Front,0.0,1.0,780.0,1.0,0.0,0.0,0.0,2.8136053,1.0,0.0,1.0,5.0,1.0,4.0,0.0,2.0,3.0,0.0,22.0,People's Liberation Front (JVP),1.0,11.07813,7.544672,6.0,0.0,7.0,18.0,430.5,0.0,1.0,13.0,0.0,1.0,People's Liberation Front (JVP),4.0,0.0,0.0,3.0910425,0.0,1.0,0.0,0.0,4.0,,1.0,5.0,Sinhalese,780.0,1.0,0.0,0.0,Sri Lanka,1.0,0.0,0.0,0.0,0.0,0.0,3,313.0,"Akmeemana, Galle district",,14.0,0.0,0.0,256.0,0.0,1.0,0.0,JVP,1971.0,0.0,5.0,Marxist/Maoist,1.0,0.0,0.0,281.0,0.0,1.0,1.0,0.0,0.0,674.0,1.0,,People's Liberation Front,0.0,0.0,0.0,Communist Party (pro-China),4.0,0.0,0.0,0.0,0.0,0.0,1965.0,"socialist revolution, pro-Sinhalese rights",,,,,,,,,,,,,,,,,,,,,,,,0.0,16.370365,0.0,0.0,JVP,Sri Lanka,0.0,1971.0,0.0,1.0,1989.0,0.0,Sri Lankan government,LKA,3.0,780.0,1971.0,Sri Lanka,JVP,0.0,SRI-1971,SRI,1.0,0.0,JVP,1.0,16.350693,2170.1,1.0,Sri Lanka,1971.0,Sri Lanka,0.0,2170.1-1,EACD.2.2-760
Tamil Eelam Liberation Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,Tamil,780.0,0.0,0.0,0.0,Sri Lanka,1.0,0.0,1.0,0.0,0.0,0.0,13,352.0,Jaffna,,,0.0,0.0,526.0,0.0,0.0,0.0,TELO,1978.0,0.0,,,0.0,0.0,0.0,321.0,0.0,1.0,0.0,0.0,0.0,777.0,0.0,,Tamil Eelam Liberation Organization,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,1969.0,Independent Tamil state,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.565159,1.0,0.0,TELO,Sri Lanka,0.0,1983.0,0.0,0.0,1988.0,0.0,,,,,,,,,SRI-1983,SRI,1.0,0.0,TELO,0.0,16.55729,2580,0.0,Sri Lanka,1983.0,Sri Lanka,0.0,2580-2,EACD.2.2-1099
People's Liberation Front of India,1.0,0.0,750.0,0.0,0.0,0.0,0.0,7.0817084,1.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,People's Liberation Front of India,1.0,14.90515,7.876766,0.0,0.0,0.0,0.0,18.458334,0.0,0.0,0.0,0.0,0.0,People's Liberation Front of India,4.0,0.0,1.0,7.8563194,0.0,0.0,0.0,0.0,1.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islamic Charter Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,"3,5",309.0,Khartoum,,,0.0,0.0,521.0,0.0,0.0,1.0,Islamic Charter Front,1976.0,0.0,,Islamist,1.0,0.0,1.0,465.0,0.0,1.0,1.0,0.0,1.0,662.0,1.0,,Islamic Charter Front,0.0,0.0,0.0,"Muslim Brotherhood, university student organizations",7.0,0.0,0.0,1.0,5.0,0.0,1964.0,a full Islamic constitution totally committed to the Shari’a and its various obligations,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.632414,0.0,0.0,Islamic Charter Front,Sudan,0.0,1976.0,0.0,0.0,1976.0,0.0,,,,,,,,,SUD-1976,SUD,1.0,0.0,Islamic Charter Front,0.0,16.597801,2130.2,0.0,Sudan,1976.0,Sudan,0.0,2130.2-1,EACD.2.2-748
Justice and Equality Movement (JEM),1.0,1.0,483.0,0.0,0.0,1.0,0.0,2.3109586,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Justice and Equality Movement (JEM),3.0,14.04599,7.197422,0.0,1.0,13.0,2.0,13.0,0.0,1.0,13.0,1.0,0.0,Justice and Equality Movement (JEM),4.0,0.0,0.0,3.4011974,0.0,1.0,1.0,0.0,2.0,,1.0,1.0,Kobe/Zaghawa,625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,3,309.0,Khartoum,,,0.0,0.0,434.0,0.0,0.0,1.0,JEM,2003.0,0.0,5.0,Islamist,1.0,0.0,0.0,468.0,0.0,1.0,1.0,0.0,0.0,665.0,1.0,,Justice and Equality Movement,0.0,0.0,0.0,Popular Congress Party (PCP),1.0,0.0,0.0,0.0,0.0,0.0,2000.0,anti-secession; regime change & more rights/protection for Darfuris,0.0,2168.0,0.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,625.0,0.0,2168_2003,0.0,Justice and Equality Movement (JEM),3.0,SDN,1.0,Sudan,1.0,0.0,2003.0,900.0,,,,,,,,,,,,,Janjaweed militia,SDN,3.0,625.0,2003.0,Sudan,JEM/SLA,0.0,,,,,,,,,,,,,,,
National Democratic Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,20.0,,625.0,0.0,0.0,1.0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,"1,3,6",309.0,,1.0,21.0,1.0,1.0,645.0,0.0,0.0,0.0,NDA,1996.0,0.0,10.0,secular democracy,0.0,0.0,0.0,467.0,0.0,1.0,1.0,0.0,1.0,664.0,1.0,,National Democratic Alliance,0.0,0.0,1.0,"16 parties and 51 trade unions; Democratic Unionist Party, the Umma Party and the Sudanese Communist Party in addition to the SPLA/SPLM",4.0,0.0,0.0,0.0,0.0,0.0,1989.0,action against the military government and a program for a national transitional government prior to reinstitution of democratic rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Redemption Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,1,309.0,Darfur,1.0,30.0,1.0,0.0,630.0,0.0,0.0,0.0,NRF,2006.0,0.0,6.0,,1.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,1.0,667.0,0.0,,National Redemption Front,0.0,1.0,0.0,"SLM/A, JEM, SFDA",1.0,0.0,0.0,0.0,0.0,0.0,2006.0,"federalism & regional self-rule, access to national power, protection for Darfurians",1.0,2392.0,0.0,0.0,0.0,0.0,0.0,736.0,0.0,0.0,625.0,0.0,2392_2006,0.0,National Redemption Front,4.0,SDN,0.0,Sudan,0.0,0.0,2006.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,625.0,0.0,0.0,0.0,Sudan,1.0,0.0,1.0,0.0,0.0,1.0,1,11344.0,,0.0,,1.0,0.0,815.0,0.0,0.0,0.0,Republic of South Sudan,2011.0,0.0,1.0,,0.0,0.0,0.0,1129.0,0.0,1.0,0.0,0.0,0.0,11977.0,0.0,wanted to ensure Abyei was part of new country,Republic of South Sudan,0.0,0.0,0.0,SPLA,5.0,0.0,0.0,0.0,0.0,0.0,2011.0,Independence of South Sudan & inclusion of Abyei within borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan Liberation Movement/Army,0.0,0.0,625.0,0.0,0.0,0.0,0.0,3.5554118,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,Sudan Liberation Movement,2.0,14.68093,7.214346,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,Sudan Liberation Movement,4.0,1.0,0.0,4.762174,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,"Fur, Masalit and Zaghaw",625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,2,309.0,Darfur,0.0,,0.0,1.0,433.0,0.0,0.0,0.0,SLM/A,2003.0,0.0,3.0,,1.0,0.0,0.0,469.0,0.0,1.0,0.0,0.0,0.0,666.0,1.0,,Sudan Liberation Movement/Army,0.0,0.0,0.0,Darfur Liberation Front,1.0,0.0,0.0,0.0,0.0,0.0,2003.0,"Change in Khartoum regime, more rights/protections for Darfurians",0.0,2489.0,0.0,0.0,1.0,0.0,0.0,736.0,0.0,0.0,625.0,0.0,2489_2003,0.0,Sudan Liberation Movement,3.0,SDN,0.0,Sudan,1.0,0.0,2003.0,1055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan Liberation Movement/Army - Minni Minawi faction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,Zaghawa,625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,1.0,1,309.0,Haskanita,1.0,,1.0,0.0,631.0,0.0,0.0,0.0,SLM/A - MM,2006.0,0.0,11.0,,0.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,eliminate economic rival,Sudan Liberation Movement/Army - Minni Minawi faction,0.0,0.0,0.0,SLM/A,1.0,0.0,0.0,0.0,0.0,0.0,2005.0,Fight the janjaweed (competitors in camel trading),0.0,2551.0,0.0,0.0,1.0,0.0,0.0,736.0,0.0,0.0,625.0,0.0,2551_2005,0.0,Sudan Liberation Movement/Army - Minni Minawi Faction,3.0,SDN,0.0,Sudan,0.0,0.0,2005.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan Liberation Movement/Army-Unity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,1.0,1,309.0,Darfur,1.0,,1.0,0.0,648.0,0.0,0.0,0.0,SLM/A-Unity,2007.0,0.0,5.0,,1.0,0.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,669.0,0.0,rebel group unity,Sudan Liberation Movement/Army-Unity,0.0,0.0,0.0,SLM/A,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,"More rights for Darfuri population, coordination amongst rebel groups",0.0,2347.0,0.0,0.0,1.0,0.0,0.0,736.0,0.0,0.0,625.0,0.0,2347_2006,0.0,Sudan Liberation Movement/Army-Unity,1.0,SDN,0.0,Sudan,1.0,0.0,2006.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan Liberation Movement/ Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,25.0,"Nuer, also Shulluk, Dinka, Murle, Anjuak and Maban",625.0,0.0,0.0,0.0,Sudan,1.0,0.0,1.0,0.0,0.0,0.0,2,309.0,Northeast South Sudan,1.0,31.0,0.0,1.0,813.0,0.0,0.0,0.0,SSLM/A,2011.0,0.0,1.0,,0.0,0.0,0.0,1124.0,0.0,1.0,0.0,0.0,0.0,11976.0,0.0,,South Sudan Liberation Movement/ Army,0.0,0.0,0.0,Upper Nile Provisional Military Command Council (UMCC),3.0,0.0,0.0,0.0,0.0,0.0,2000.0,Independence of South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudanese People’s Liberation Movement/Army (SPLM),0.0,0.0,625.0,0.0,0.0,1.0,0.0,3.2306967,,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,Sudanese People's Liberation Forces,,14.68093,6.88971,0.0,,32.0,6.0,16.0,0.0,0.0,32.0,0.0,0.0,Sudanese People's Liberation Forces,4.0,,,4.1743875,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,,625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,"1,7",309.0,"Bor, Ayod, and Pibor",0.0,,1.0,1.0,641.0,0.0,0.0,0.0,SPLM/A,1983.0,0.0,5.0,,0.0,1.0,0.0,466.0,0.0,1.0,0.0,1.0,0.0,663.0,1.0,,Sudanese People’s Liberation Movement/Army,0.0,0.0,0.0,"Anya Nya veterans, defecting Sudanese military officers",5.0,0.0,0.0,0.0,0.0,0.0,1983.0,"United, socialist Sudan w/religious freedom",,,,,,,,,,,,,,,,,,,,,,,,4.0,16.892687,0.0,1.0,SPLM,Sudan,0.0,1983.0,4.0,0.0,2003.0,0.0,,,,,,,,,SUD-1983,SUD,1.0,1.0,SPLM,0.0,16.857346,1850.2,0.0,Sudan,1983.0,Sudan,0.0,1850.2-1,EACD.2.2-502
Sudan People's Liberation Movement-North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,16.0,,625.0,0.0,0.0,0.0,Sudan,0.0,0.0,0.0,0.0,0.0,0.0,1,309.0,South Khordofan,0.0,,1.0,0.0,812.0,0.0,0.0,0.0,SPLM/A-North,2011.0,0.0,6.0,,1.0,0.0,0.0,1123.0,0.0,0.0,0.0,0.0,0.0,11975.0,1.0,,Sudan People's Liberation Movement-North,0.0,0.0,0.0,SPLM/A,6.0,0.0,0.0,0.0,0.0,0.0,2011.0,"removing the government, equal rights for all",1.0,2616.0,0.0,0.0,1.0,0.0,0.0,736.0,0.0,0.0,625.0,0.0,2616_2011,0.0,Sudan People's Liberation Movement-North,1.0,SDN,0.0,Sudan,0.0,0.0,2011.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anya Nya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,625.0,0.0,0.0,0.0,Sudan,1.0,0.0,1.0,0.0,0.0,0.0,3,282.0,Equatoria,,,0.0,0.0,676.0,0.0,0.0,0.0,SSLM,1963.0,0.0,,,0.0,0.0,0.0,418.0,0.0,1.0,1.0,0.0,0.0,580.0,0.0,,Anya Nya,0.0,0.0,0.0,Sudan African National Union,1.0,0.0,0.0,0.0,0.0,0.0,1963.0,Independence of South Sudan,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.257227,1.0,1.0,Anya Nya,Sudan,0.0,1963.0,3.0,0.0,1972.0,0.0,Sudanese government,SDN,3.0,625.0,1962.0,Sudan,Anya Nya,0.0,SUD-1963,SUD,1.0,1.0,Anya Nya,0.0,16.229925,1850.1,0.0,Sudan,1963.0,Sudan,0.0,1850.1-1,EACD.2.2-499
Sudanese Communist Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.0,,625.0,1.0,0.0,0.0,Sudan,0.0,0.0,1.0,0.0,0.0,0.0,5,309.0,Cairo,,,0.0,0.0,520.0,0.0,0.0,0.0,Sudanese Communist Party,1971.0,0.0,,Marxist-Leninist,0.0,0.0,1.0,464.0,0.0,1.0,0.0,0.0,0.0,661.0,1.0,,Sudanese Communist Party,0.0,0.0,0.0,"student groups in Egypt, Gordon Memorial College in Sudan",7.0,0.0,0.0,0.0,0.0,0.0,1946.0,National liberation w/in Marxist-Leninist framework,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUD-1971,SUD,1.0,,Sudanese Communist Party,,16.43928,2130.1,,Sudan,1971.0,Sudan,0.0,2130.1-1,EACD.2.2-745
Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,Arab,652.0,1.0,0.0,0.0,Syria,1.0,0.0,0.0,0.0,0.0,1.0,7,299.0,Damascus,,,0.0,0.0,518.0,0.0,0.0,0.0,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),1966.0,0.0,2.0,Pan-Arab Nationalist,0.0,0.0,0.0,268.0,0.0,1.0,0.0,1.0,0.0,642.0,1.0,reject concessions to merchants/bourgeois,Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen),0.0,0.0,0.0,"Army ""clique"" of the Ba'ath party",2.0,0.0,0.0,0.0,0.0,0.0,1966.0,intra-party factionalization in support of rural-based socialism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
